Venue,Serial,Port,Location,Group,bathroomLocationOnNetgear
Amerant Bank Arena,000000006bee4ac8,1,105W 01,105W,105W
Amerant Bank Arena,000000007f61eaf9,2,105W 02,105W,105W
Amerant Bank Arena,0000000057316f3e,N/A,105W 03,105W,105W
Amerant Bank Arena,00000000f0ab7fc2,3,105W 04,105W,105W
Amerant Bank Arena,00000000603e401e,1,107M 01,107M,107M
Amerant Bank Arena,000000004fbc9f62,N/A,107M 02,107M,107M
Amerant Bank Arena,00000000a9ffafcd,5,107M 03,107M,107M
Amerant Bank Arena,00000000a5547fc1,N/A,107M 04,107M,107M
Amerant Bank Arena,0000000013acc6de,9,107M 05,107M,107M
Amerant Bank Arena,00000000691ccce4,11,107M 06,107M,107M
Amerant Bank Arena,000000003db88d8d,N/A,107M 07,107M,107M
Amerant Bank Arena,000000005fcaf61d,N/A,107M 08,107M,107M
Amerant Bank Arena,00000000c7e9c65d,17,107M 09,107M,107M
Amerant Bank Arena,000000007b8b1508,7,108W 01,108W,108W
Amerant Bank Arena,000000007eff4a2a,5,108W 02,108W,108W
Amerant Bank Arena,00000000b8d11744,3,108W 03,108W,108W
Amerant Bank Arena,00000000edfa8984,1,108W 04,108W,108W
Amerant Bank Arena,00000000ed9a90f4,1,109W 01,109W,109W
Amerant Bank Arena,000000002eba9617,3,109W 02,109W,109W
Amerant Bank Arena,000000000417a045,N/A,109W 03,109W,109W
Amerant Bank Arena,00000000ba2161e9,N/A,109W 04,109W,109W
Amerant Bank Arena,00000000068e2ef1,9,109W 05,109W,109W
Amerant Bank Arena,00000000d5329088,N/A,111W 01,111W,111W
Amerant Bank Arena,00000000a23a5492,N/A,111W 02,111W,111W
Amerant Bank Arena,00000000c2f9fb7c,5,111W 03,111W,111W
Amerant Bank Arena,00000000d655ee4d,N/A,111W 04,111W,111W
Amerant Bank Arena,00000000e14092a9,9,112M 01,112M,112M
Amerant Bank Arena,00000000ebcfc227,11,112M 02,112M,112M
Amerant Bank Arena,000000008d313c76,13,112M 03,112M,112M
Amerant Bank Arena,00000000cd86e93f,15,112M 04,112M,112M
Amerant Bank Arena,00000000c50a529c,17,112M 05,112M,112M
Amerant Bank Arena,000000009d0ea760,7,112M 06,112M,112M
Amerant Bank Arena,000000000d81d22b,5,112M 07,112M,112M
Amerant Bank Arena,00000000b1dbe11b,3,112M 08,112M,112M
Amerant Bank Arena,00000000f81e93d8,1,112M 09,112M,112M
Amerant Bank Arena,0000000059dc4b07,N/A,114W 01,114W,114W
Amerant Bank Arena,39247651,N/A,114W 02,114W,114W
Amerant Bank Arena,00000000728fb9df,3,114W 03,114W,114W
Amerant Bank Arena,00000000d37c784f,1,114W 04,114W,114W
Amerant Bank Arena,000000005d2347e6,N/A,115M 01,115M,115M
Amerant Bank Arena,00000000588c132e,N/A,115M 02,115M,115M
Amerant Bank Arena,00000000bffb861a,N/A,115M 03,115M,115M
Amerant Bank Arena,0000000033da70eb,7,115M 04,115M,115M
Amerant Bank Arena,00000000324844ca,N/A,115M 05,115M,115M
Amerant Bank Arena,00000000dd72a202,N/A,115M 06,115M,115M
Amerant Bank Arena,00000000cd08571d,N/A,115M 07,115M,115M
Amerant Bank Arena,0000000002a60f10,N/A,115M 08,115M,115M
Amerant Bank Arena,0000000074b94e9e,N/A,121M 01,121M,121M
Amerant Bank Arena,000000009b9d6e1f,N/A,121M 02,121M,121M
Amerant Bank Arena,00000000f9212315,5,121M 03,121M,121M
Amerant Bank Arena,000000000787df87,N/A,121M 04,121M,121M
Amerant Bank Arena,00000000045bdf69,9,121M 05,121M,121M
Amerant Bank Arena,0000000099fa43b2,N/A,121M 06,121M,121M
Amerant Bank Arena,000000006b9636b4,N/A,121M 07,121M,121M
Amerant Bank Arena,00000000044b6066,N/A,121M 08,121M,121M
Amerant Bank Arena,00000000d0281f28,N/A,122W 01,122W,122W
Amerant Bank Arena,000000005ea2ac1a,N/A,122W 02,122W,122W
Amerant Bank Arena,00000000a8fdfadc,N/A,122W 03,122W,122W
Amerant Bank Arena,00000000439922a6,N/A,122W 04,122W,122W
Amerant Bank Arena,000000005936f5e9,N/A,124M 01,124M,124M
Amerant Bank Arena,00000000bdf341e1,3,124M 02,124M,124M
Amerant Bank Arena,000000002c133e9d,5,124M 03,124M,124M
Amerant Bank Arena,000000004cb8a687,7,124M 04,124M,124M
Amerant Bank Arena,000000005cc018cc,N/A,124M 05,124M,124M
Amerant Bank Arena,000000009833d39b,N/A,124M 06,124M,124M
Amerant Bank Arena,000000006d856ab7,N/A,124M 07,124M,124M
Amerant Bank Arena,00000000d4ce7ea4,N/A,124M 08,124M,124M
Amerant Bank Arena,000000000db12f6c,N/A,124M 09,124M,124M
Amerant Bank Arena,000000000b23e2e7,N/A,124M 10,124M,124M
Amerant Bank Arena,00000000f5a73dd6,N/A,124M 11,124M,124M
Amerant Bank Arena,00000000235cb541,N/A,125W 01,125W,125W
Amerant Bank Arena,6.7326E+086,5,125W 02,125W,125W
Amerant Bank Arena,000000009a7c5035,3,125W 03,125W,125W
Amerant Bank Arena,00000000743e0907,1,125W 04,125W,125W
Amerant Bank Arena,0000000066d59aab,7,127W 01,127W,127W
Amerant Bank Arena,000000004a583b64,5,127W 02,127W,127W
Amerant Bank Arena,00000000613570a1,9,127W 03,127W,127W
Amerant Bank Arena,00000000f0e0a9d9,3,127W 04,127W,127W
Amerant Bank Arena,00000000bba878a3,N/A,127W 05,127W,127W
Amerant Bank Arena,00000000d41c85a3,7,128W 01,128W,128W
Amerant Bank Arena,00000000be530078,5,128W 02,128W,128W
Amerant Bank Arena,0000000061b1ae72,3,128W 03,128W,128W
Amerant Bank Arena,00000000195c5cc9,N/A,128W 04,128W,128W
Amerant Bank Arena,000000007ae56151,N/A,129M 01,129M,129M
Amerant Bank Arena,00000000231b3173,N/A,129M 02,129M,129M
Amerant Bank Arena,000000002bd74bac,N/A,129M 03,129M,129M
Amerant Bank Arena,0000000093637d1a,N/A,129M 04,129M,129M
Amerant Bank Arena,00000000bca5c131,N/A,129M 05,129M,129M
Amerant Bank Arena,0000000048fc0cdf,11,129M 06,129M,129M
Amerant Bank Arena,00000000bfc6046e,N/A,129M 07,129M,129M
Amerant Bank Arena,000000005777999e,15,129M 08,129M,129M
Amerant Bank Arena,0000000091b24230,N/A,129M 09,129M,129M
Amerant Bank Arena,00000000f5349e8c,N/A,129M 10,129M,129M
Amerant Bank Arena,000000002b8f39ef,21,129M 11,129M,129M
Amerant Bank Arena,000000000f8d3998,7,130W 01,130W,130W
Amerant Bank Arena,000000006e82ba78,N/A,130W 02,130W,130W
Amerant Bank Arena,0000000057d2689c,5,130W 03,130W,130W
Amerant Bank Arena,00000000e1cc8429,1,130W 04,130W,130W
Amerant Bank Arena,000000006a4dc328,N/A,304M 01,304M,304M
Amerant Bank Arena,00000000f359adb4,12,304M 02,304M,304M
Amerant Bank Arena,00000000c9fe500f,N/A,304M 03,304M,304M
Amerant Bank Arena,0000000024271cca,7,304M 04,304M,304M
Amerant Bank Arena,00000000913dbec2,6,304M 05,304M,304M
Amerant Bank Arena,000000003ff1e35a,4,304M 06,304M,304M
Amerant Bank Arena,6.56E+022,1,304M 07,304M,304M
Amerant Bank Arena,00000000f618856a,12,304W 01,304W,304W
Amerant Bank Arena,000000002769ce0e,10,304W 02,304W,304W
Amerant Bank Arena,00000000dc404d5f,7,304W 03,304W,304W
Amerant Bank Arena,0000000015a35043,5,304W 04,304W,304W
Amerant Bank Arena,00000000fffb610f,4,304W 05,304W,304W
Amerant Bank Arena,000000004da4d3f5,14,304W 06,304W,304W
Amerant Bank Arena,00000000507aeaa3,1,304W 07,304W,304W
Amerant Bank Arena,0000000019b1590c,7,308W 01,308W,308W
Amerant Bank Arena,0000000056ea67a3,5,308W 02,308W,308W
Amerant Bank Arena,00000000e3f444d6,3,308W 03,308W,308W
Amerant Bank Arena,000000001afb87cd,1,308W 04,308W,308W
Amerant Bank Arena,0000000051c034cc,1,310M 01,310M,310M
Amerant Bank Arena,00000000b61c2c67,3,310M 02,310M,310M
Amerant Bank Arena,000000002fec6d8b,N/A,310M 03,310M,310M
Amerant Bank Arena,000000003537d8e6,7,310M 04,310M,310M
Amerant Bank Arena,00000000e308a5dd,N/A,310M 05,310M,310M
Amerant Bank Arena,00000000546d1b3b,11,310M 06,310M,310M
Amerant Bank Arena,00000000b4a091e7,13,310M 07,310M,310M
Amerant Bank Arena,00000000dabd3de9,15,310M 08,310M,310M
Amerant Bank Arena,00000000ba17c92e,17,310M 09,310M,310M
Amerant Bank Arena,00000000a3ec2405,19,310M 10,310M,310M
Amerant Bank Arena,000000006663ea4a,N/A,310M 11,310M,310M
Amerant Bank Arena,00000000dba06abd,N/A,315W 01,315W,315W
Amerant Bank Arena,000000008d319eaf,N/A,315W 02,315W,315W
Amerant Bank Arena,000000003e8c18fa,N/A,315W 03,315W,315W
Amerant Bank Arena,00000000b97a0d0f,N/A,315W 04,315W,315W
Amerant Bank Arena,00000000fce6fbfb,N/A,316M 01,316M,316M
Amerant Bank Arena,00000000328655cd,7,316M 02,316M,316M
Amerant Bank Arena,0000000000b162b2,N/A,316M 03,316M,316M
Amerant Bank Arena,30993361,3,316M 04,316M,316M
Amerant Bank Arena,00000000a060944a,N/A,316M 05,316M,316M
Amerant Bank Arena,00000000469f4e15,2,322M 01,322M,322M
Amerant Bank Arena,00000000392516ac,N/A,322M 02,322M,322M
Amerant Bank Arena,00000000261ea4fb,N/A,322M 03,322M,322M
Amerant Bank Arena,00000000a97ce8d6,N/A,322M 04,322M,322M
Amerant Bank Arena,00000000630c9341,10,322M 05,322M,322M
Amerant Bank Arena,00000000f1d0f08a,N/A,322W 01,322W,322W
Amerant Bank Arena,0000000073e04eda,6,322W 02,322W,322W
Amerant Bank Arena,00000000999884f7,3,322W 03,322W,322W
Amerant Bank Arena,00000000b5475ead,1,322W 04,322W,322W
Amerant Bank Arena,00000000311b4092,16,326M 01,326M,326M
Amerant Bank Arena,00000000499163a6,13,326M 02,326M,326M
Amerant Bank Arena,00000000bc259f03,12,326M 03,326M,326M
Amerant Bank Arena,000000006fee5574,10,326M 04,326M,326M
